name,military record.organization,military record.rank
"Whitmore, John",U.S. Army,Private
"Whitney, William G.",U.S. Army,Sergeant
"Whittier, Edward N.",U.S. Army,First Lieutenant
"Wickam, Jerry Wayne",U.S. Army,Corporal
"Widick, Andrew J.",U.S. Army,Private
"Widmer, Jacob",U.S. Army,First Sergeant
"Wilbanks, Hilliard A.",U.S. Air Force,Captain
"Wilcox, Franklin L.",U.S. Navy,Ordinary Seaman
"Wilcox, William H.",U.S. Army,Sergeant
"Wilder, Wilber E.",U.S. Army,First Lieutenant
"Wiley, James",U.S. Army,Sergeant
"Wilhelm, George",U.S. Army,Captain
"Wilke, Julius A. R.",U.S. Navy,Boatswain's Mate First Class
"Wilkens, Henry",U.S. Army,First Sergeant
"Wilkes, Henry",U.S. Navy,Landsman
"Wilkes, Perry",U.S. Navy,Pilot
"Wilkins, Leander A.",U.S. Army,Sergeant
"Willcox, Orlando B.",U.S. Army,Colonel
"Willett, Louis E.",U.S. Army,Private First Class
"Williams, Anthony",U.S. Navy,Sailmaker's Mate
"Williams, Antonio",U.S. Navy,Seaman
"Williams, Augustus",U.S. Navy,Seaman
"Williams, Dewayne T.",U.S. Marine Corps,Private First Class
"Williams, Elwood M.",U.S. Army,Private
"Williams, Frank",U.S. Navy,Seaman
"Williams, George C.",U.S. Army,Quartermaster Sergeant
"Williams, Henry",U.S. Navy,Carpenter's Mate
"Williams, Jack",U.S. Navy,Pharmacist's Mate Third Class
"Williams, James E.",U.S. Navy,Boatswain's Mate First Class
"Williams, Jay",U.S. Navy,Coxswain
"Williams, John",U.S. Navy,Boatswain's Mate
"Williams, John",U.S. Navy,Captain of the Main Top
"Williams, John",U.S. Navy,Seaman
"Williams, Le Roy",U.S. Army,Sergeant
"Williams, Louis",U.S. Navy,Captain of the Hold
"Williams, Moses",U.S. Army,First Sergeant
"Williams, Peter",U.S. Navy,Seaman
"Williams, Robert",U.S. Navy,Signal Quartermaster
"Williams, William",U.S. Navy,Landsman
"Williams, William H.",U.S. Army,Private
"Williamson, James A.",U.S. Army,Colonel
"Willis, George",U.S. Navy,Coxswain
"Willis, John Harlan",U.S. Navy,Pharmacist's Mate First Class
"Willis, Richard",U.S. Navy,Coxswain
"Williston, Edward B.",U.S. Army,First Lieutenant
"Wills, Henry",U.S. Army,Private
"Wilson, Alfred M.",U.S. Marine Corps,Private First Class
"Wilson, Arthur H.",U.S. Army,Second Lieutenant
"Wilson, August",U.S. Navy,Boilermaker
"Wilson, Benjamin",U.S. Army,Private
"Wilson, Charles E.",U.S. Army,Sergeant
"Wilson, Charles",U.S. Army,Corporal
"Wilson, Christopher W.",U.S. Army,Private
"Wilson, Francis A.",U.S. Army,Corporal
"Wilson, John",U.S. Army,Sergeant
"Wilson, John A.",U.S. Army,Private
"Wilson, John M.",U.S. Army,First Lieutenant
"Wilson, Louis Hugh,",U.S. Marine Corps,Captain
"Wilson, Milden H.",U.S. Army,Sergeant
"Wilson, Robert Lee",U.S. Marine Corps,Private First Class
"Wilson, William",U.S. Army,Sergeant
"Wilson, William O.",U.S. Army,Corporal
"Winder, David F.",U.S. Army,Private First Class
"Windolph, Charles",U.S. Army,Private
"Windrich, William G.",U.S. Marine Corps,Staff Sergeant
"Windus, Claron A.",U.S. Army,Bugler
"Winegar, William W.",U.S. Army,Lieutenant
"Winterbottom, William",U.S. Army,Sergeant
"Wisner, Lewis S.",U.S. Army,First Lieutenant
"Witcome, Joseph",U.S. Army,Private
"Witek, Frank Peter",U.S. Marine Corps,Private First Class
"Withington, William H.",U.S. Army,Captain
"Wollam, John",U.S. Army,Private
"Wood, H. Clay",U.S. Army,First Lieutenant
"Wood, Leonard",U.S. Army,Assistant Surgeon
"Wood, Mark",U.S. Army,Private
"Wood, Richard H.",U.S. Army,Captain
"Wood, Robert B.",U.S. Navy,Coxswain
"Woodall, William H.",U.S. Army,Civilian Scout
"Woodall, Zachariah",U.S. Army,Sergeant
"Woodbury, Eri D.",U.S. Army,Sergeant
"Woodruff, Alonzo",U.S. Army,Sergeant
"Woodruff, Carle A.",U.S. Army,First Lieutenant
"Woods, Brent",U.S. Army,Sergeant
"Woods, Daniel A.",U.S. Army,Private
"Woods, Samuel",U.S. Navy,Seaman
"Woodward, Evan M.",U.S. Army,First Lieutenant/Adjutant
"Woon, John",U.S. Navy,Boatswain's Mate
"Woram, Charles B.",U.S. Navy,Seaman
"Worley, Kenneth L.",U.S. Marine Corps,Lance Corporal
"Wortick, Joseph",U.S. Army,Private
"Wortman, George G.",U.S. Army,Sergeant
"Wray, William J.",U.S. Army,Sergeant
"Wright, Albert D.",U.S. Army,Captain
"Wright, Edward",U.S. Navy,Quartermaster
"Wright, Raymond R.",U.S. Army,Specialist Fourth Class
"Wright, Robert",U.S. Army,Private
"Wright, Samuel",U.S. Army,Corporal
"Wright, Samuel C.",U.S. Army,Private
"Wright, William",U.S. Navy,Yeoman
"Yabes, Maximo",U.S. Army,First Sergeant
"Yano, Rodney J. T.",U.S. Army,Sergeant First Class
"Yeager, Jacob F.",U.S. Army,Private
"Yntema, Gordon Douglas",U.S. Army,Sergeant
"Young, Andrew J.",U.S. Army,Sergeant
"Young, Benjamin F.",U.S. Army,Corporal
"Young, Calvary M.",U.S. Army,Sergeant
